,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url,Unnamed: 0
918,79.4 x 158.2 x 14.1 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",238 g,"2 GB, 533 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.0,"4650 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/706a5261,
919,79.4 x 158.2 x 14.1 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",238 g,"2 GB, 533 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.0,"4650 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/706a5261,
920,79.4 x 158.2 x 14.1 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",487 g,"4 GB, 1600 MHz",64 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"4650 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/188054aa,
921,79.4 x 158.2 x 14.1 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",487 g,"4 GB, 1600 MHz",64 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"4650 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/188054aa,
922,79.4 x 158.2 x 14.1 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",487 g,"4 GB, 1600 MHz",64 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"4650 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/188054aa,
923,80 x 159 x 15 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",268 g,"3 GB, 933 MHz",32 GB,"5.7 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5580 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/797351db,228.0
924,80 x 163.5 x 16.45 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",,"6 GB, 1800 MHz",128 GB,"5.9 in, IPS, 1080 x 2280 pixels, 24 bit","5360 x 4032 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"6300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/81b95260,
925,80 x 171 x 11.9 mm,"2x 2.2 GHz ARM Cortex-A78, 6x 2.0 GHz ARM Cortex-A55,",IMG BXM-8-256,268 g,"6 GB, 2133 MHz",128 GB,"6.58 in, IPS, 1080 x 2400 pixels, 24 bit","8190 x 6120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.1,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/89185c01,213.0
926,80.2 x 153 x 14.85 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",236 g,"2 GB, 533 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"4400 mAh, Li-Ion",https://www.devicespecifications.com/en/model/9aa553dd,561.0
927,80.2 x 153 x 14.85 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",236 g,"2 GB, 533 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"4400 mAh, Li-Ion",https://www.devicespecifications.com/en/model/9aa553dd,562.0
