,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url,Unnamed: 0
575,75.6 x 165.1 x 8.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",229 g,"12 GB, 16 GB, 3200 MHz","128 GB, 256 GB, 512 GB","6.8 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6E (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/964554dd,516.0
576,75.6 x 165.1 x 8.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",229 g,"12 GB, 16 GB, 3200 MHz","128 GB, 256 GB, 512 GB","6.8 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6E (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/964554dd,517.0
577,75.64 x 158.38 x 7.99 mm,"4x 2.2 GHz Cortex-A73, 4x 1.84 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 512, 647 MHz",186 g,"4 GB, 1866 MHz",64 GB,"6 in, IPS, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3800 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/290e4872,105.0
578,75.7 x 160.2 x 7.9 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",191 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/f7fe499b,413.0
579,75.7 x 160.2 x 7.9 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",191 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/f7fe499b,414.0
580,75.7 x 160.2 x 7.9 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",191 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/f7fe499b,415.0
581,75.7 x 161 x 8.7 mm,"1x 2.96 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 675 MHz",199 g,"6 GB, 8 GB, 12 GB, 2133 MHz","64 GB, 128 GB, 256 GB","6.5 in, Super AMOLED, 1080 x 2400 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f394523a,
582,75.7 x 165.2 x 9.2 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 240),","Qualcomm Adreno 610, 600 MHz",200 g,"4 GB, 1866 MHz",64 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/bb8d546d,330.0
583,75.73 x 165.21 x 9.18 mm,"4x 2.0 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 610, 950 MHz",200 g,"4 GB, 1866 MHz",64 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/9b9e543a,376.0
584,75.76 x 164.94 x 9.2 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",200 g,"4 GB, 1600 MHz",64 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/ac33534a,371.0
585,75.76 x 164.94 x 9.2 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",200 g,"4 GB, 1600 MHz",64 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/ac33534a,372.0
586,75.8 x 148.8 x 8.15 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 508, 700 MHz",172 g,"3 GB, 1333 MHz",32 GB,"5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d3c248d9,87.0
587,75.8 x 148.8 x 8.15 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 508, 700 MHz",172 g,"3 GB, 1333 MHz",32 GB,"5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d3c248d9,88.0
588,75.8 x 152.5 x 14.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",232 g,"2 GB, 667 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d4be5046,
589,75.8 x 152.5 x 14.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",232 g,"2 GB, 667 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d4be5046,
590,75.8 x 152.5 x 14.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",232 g,"2 GB, 667 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d4be5046,
591,75.8 x 155.9 x 6.99 mm,"2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo,","Qualcomm Adreno 530, 624 MHz",163 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.5 in, AMOLED, 1440 x 2560 pixels, 24 bit","5312 x 3984 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1f303c85,
592,75.8 x 156.9 x 7.8 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",168 g,"2 GB, 3 GB, 933 MHz",32 GB,"6.2 in, TFT, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/184a517f,384.0
593,75.8 x 158.4 x 9.1 mm,"4x 2.0 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 610, 950 MHz",188 g,"4 GB, 1866 MHz",64 GB,"6.3 in, IPS, 1080 x 2280 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a139526d,
594,75.8 x 158.6 x 15.4 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.65 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 700 MHz,",257 g,"4 GB, 1500 MHz",64 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/ae224cf4,
595,75.8 x 158.7 x 7.7 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",169 g,"6 GB, 1866 MHz","64 GB, 128 GB","6.4 in, P-OLED, 1440 x 3120 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c57f4c43,
596,75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112,
597,75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112,
598,75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112,
599,75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112,
600,75.8 x 159.3 x 8.4 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",192 g,"6 GB, 2133 MHz",128 GB,"6.4 in, OLED, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/df0e51ff,374.0
601,75.8 x 159.3 x 8.4 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",192 g,"6 GB, 8 GB, 2133 MHz",128 GB,"6.4 in, OLED, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/a1bb5200,
602,75.8 x 161.8 x 8.67 mm,"2x 2.2 GHz ARM Cortex-A75, 6x 2.0 GHz ARM Cortex-A55,","IMG 9XM-HP8 (PowerVR GM9446), 900 MHz",195 g,"8 GB, 1866 MHz","128 GB, 256 GB","6.5 in, AMOLED, 1080 x 2400 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c62451eb,
603,75.8 x 163.8 x 8.9 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 465),","Qualcomm Adreno 618, 750 MHz",202 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.6 in, IPS, 1080 x 2400 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8f265314,85.0
604,75.8 x 163.8 x 8.9 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 465),","Qualcomm Adreno 618, 750 MHz",202 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.6 in, IPS, 1080 x 2400 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8f265314,86.0
605,75.8 x 163.8 x 8.9 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 465),","Qualcomm Adreno 618, 750 MHz",202 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.6 in, IPS, 1080 x 2400 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8f265314,89.0
606,75.8 x 163.8 x 8.9 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 465),","Qualcomm Adreno 618, 750 MHz",202 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.6 in, IPS, 1080 x 2400 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8f265314,90.0
607,75.8 x 163.9 x 8.95 mm,"1x 2.91 GHz Cortex-X2, 3x 2.49 GHz Cortex-A710, 4x 1.8 GHz Cortex-A510","Qualcomm Adreno 725, 580 MHz",193 g,"8 GB, 12 GB, 3200 MHz","256 GB, 512 GB","6.74 in, AMOLED, 1240 x 2772 pixels, 30 bit","9280 x 6920 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Wi-Fi 7 (be), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.3,"5500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/769d5c36,75.0
608,75.8 x 164 x 8.9 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",205 g,"3 GB, 4 GB, 6 GB, 1600 MHz","32 GB, 64 GB, 128 GB","6.5 in, TFT, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",5.0,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a4905512,386.0
609,75.8 x 164 x 8.9 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",205 g,"3 GB, 4 GB, 6 GB, 1600 MHz","32 GB, 64 GB, 128 GB","6.5 in, TFT, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",5.0,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a4905512,387.0
610,75.8 x 166.7 x 8.4 mm,"4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 550 MHz",177 g,"4 GB, 1200 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Wi-Fi Hotspot","2.0, Micro USB",4.1,"4350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/e0b1562a,
611,75.8 x 166.7 x 8.4 mm,"4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 550 MHz",177 g,"4 GB, 1200 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Wi-Fi Hotspot","2.0, Micro USB",4.1,"4350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/e0b1562a,
612,75.8 x 166.7 x 8.4 mm,"4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 550 MHz",177 g,"4 GB, 1200 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Wi-Fi Hotspot","2.0, Micro USB",4.1,"4350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/e0b1562a,
613,75.8 x 166.7 x 8.4 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",,"2 GB, 933 MHz",32 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/416a52bc,
614,75.8 x 166.7 x 8.4 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",,"2 GB, 933 MHz",32 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/416a52bc,
615,75.85 x 155.2 x 10.3 mm,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 650 MHz,",210 g,"4 GB, 933 MHz",64 GB,"5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"5050 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7ae14488,215.0
616,75.85 x 155.2 x 10.3 mm,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 650 MHz,",210 g,"4 GB, 933 MHz",64 GB,"5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"5050 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7ae14488,216.0
617,75.85 x 164.96 x 9.4 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",202 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.5 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9d4d53f1,
618,75.85 x 164.96 x 9.4 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",202 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.5 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9d4d53f1,
619,75.9 x 155.8 x 9.98 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",170 g,"4 GB, 1333 MHz",64 GB,"6.18 in, IPS, 1080 x 2246 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/076d4bcb,
620,75.9 x 162.6 x 8.8 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",206 g,"6 GB, 8 GB, 12 GB, 2133 MHz","128 GB, 256 GB","6.67 in, Fluid AMOLED, 1440 x 3120 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi 6 (ax)","3.1, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cba050c3,104.0
621,75.9 x 164.2 x 9.1 mm,"8x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 600 MHz",196 g,"3 GB, 933 MHz",32 GB,"6.5 in, TFT, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1fe95513,383.0
622,75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b42a53ed,280.0
623,75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b42a53ed,281.0
624,75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 3 GB, 1600 MHz","32 GB, 64 GB","6.53 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/562353ee,
625,75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 3 GB, 1600 MHz","32 GB, 64 GB","6.53 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/562353ee,
