dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
72.7 x 152.9 x 7.4 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",159 g,6 GB,256 GB,"6.15 in, IPS, 1080 x 2312 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3340 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/aff652b4
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
71.06 x 148.9 x 8.5 mm,"2x 2.86 GHz Cortex-A76, 2x 2.09 GHz Cortex-A76, 4x 1.86 GHz Cortex-A55","ARM Mali-G76 MP16, 600 MHz,",175 g,"8 GB, 2133 MHz",128 GB,"6.1 in, OLED, 1080 x 2340 pixels, 24 bit","50 MP, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.1,"3800 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7c4d55c2
72.6 x 158.2 x 8.95 mm,"2x 2.86 GHz Cortex-A76, 2x 2.36 GHz Cortex-A76, 4x 1.95 GHz Cortex-A55","ARM Mali-G76 MP16, 600 MHz,",209 g,"8 GB, 2133 MHz","128 GB, 256 GB","6.58 in, OLED, 1200 x 2640 pixels, 24 bit","50 MP, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.1,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6aae5334
72.6 x 158.2 x 8.95 mm,"2x 2.86 GHz Cortex-A76, 2x 2.36 GHz Cortex-A76, 4x 1.95 GHz Cortex-A55","ARM Mali-G76 MP16, 600 MHz,",209 g,"8 GB, 2133 MHz","128 GB, 256 GB","6.58 in, OLED, 1200 x 2640 pixels, 24 bit","50 MP, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.1,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6aae5334
72.6 x 158.2 x 8.95 mm,"2x 2.86 GHz Cortex-A76, 2x 2.36 GHz Cortex-A76, 4x 1.95 GHz Cortex-A55","ARM Mali-G76 MP16, 600 MHz,",209 g,"8 GB, 2133 MHz","128 GB, 256 GB","6.58 in, OLED, 1200 x 2640 pixels, 24 bit","50 MP, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.1,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6aae5334
75 x 162.31 x 8.58 mm,"1x 2.36 GHz Cortex-A56, 3x 2.22 GHz Cortex-A56, 4x 1.84 GHz Cortex-A55","ARM Mali-G57 MP6,",189 g,"6 GB, 2133 MHz",128 GB,"6.5 in, IPS, 1080 x 2400 pixels, 24 bit","9216 x 6912 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/bd1853a2
76.13 x 159.81 x 8.13 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",176 g,"4 GB, 1833 MHz",64 GB,"6.39 in, IPS, 720 x 1560 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Display","2.0, Micro USB",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c4285317
69.8 x 144.7 x 8.5 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 598 MHz",170 g,"3 GB, 667 MHz",32 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/200f4723
72.94 x 147.2 x 7.6 mm,"4x 2.1 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2, 900 MHz,",147 g,"3 GB, 4 GB, 933 MHz","16 GB, 32 GB","5.2 in, IPS, 1080 x 1920 pixels, 24 bit","3968 x 2976 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b75c40c7
72.94 x 147.2 x 7.6 mm,"4x 2.1 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2, 900 MHz,",147 g,"3 GB, 4 GB, 933 MHz","16 GB, 32 GB","5.2 in, IPS, 1080 x 1920 pixels, 24 bit","3968 x 2976 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b75c40c7
72.8 x 149.76 x 9.35 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",,"1 GB, 533 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/127d516b
75.4 x 154.3 x 9.95 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",,"1 GB, 533 MHz",16 GB,"5.7 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"3500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6cf152c0
77.85 x 167.11 x 9.55 mm,,,,2 GB,16 GB,"6.52 in, IPS, 540 x 1200 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/316f57ed
76.5 x 162.6 x 8.8 mm,"1x 3.0 GHz Cortex-X3, 4x 2.4 GHz Cortex-A715, 4x 2.15 GHz Cortex-A510","ARM Mali-G715, 890 MHz,",213 g,"12 GB, 4266 MHz","128 GB, 256 GB, 512 GB","6.71 in, OLED, 1344 x 2992 pixels, 24 bit","8120 x 6180 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Wi-Fi 7 (be), Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.3,"5050 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/60d75dfa
76.7 x 157.9 x 7.9 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",175 g,"4 GB, 1866 MHz","64 GB, 128 GB","6 in, P-OLED, 1440 x 2880 pixels, 24 bit","4032 x 3924 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3520 mAh, Li-Ion",https://www.devicespecifications.com/en/model/231a461a
76.7 x 157.9 x 7.9 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",175 g,"4 GB, 1866 MHz","64 GB, 128 GB","6 in, P-OLED, 1440 x 2880 pixels, 24 bit","4032 x 3924 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3520 mAh, Li-Ion",https://www.devicespecifications.com/en/model/231a461a
76.7 x 157.9 x 7.9 mm,"4x 2.45 GHz Cortex-A75, 4x 1.9 GHz Cortex-A55 (Kryo 280),","Qualcomm Adreno 540, 710 MHz",175 g,"4 GB, 1866 MHz","64 GB, 128 GB","6 in, P-OLED, 1440 x 2880 pixels, 24 bit","4032 x 3924 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3520 mAh, Li-Ion",https://www.devicespecifications.com/en/model/231a461a
76.7 x 158 x 7.9 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",184 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 2960 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3430 mAh, Li-Ion",https://www.devicespecifications.com/en/model/68d54c26
76.7 x 158 x 7.9 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",184 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 2960 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3430 mAh, Li-Ion",https://www.devicespecifications.com/en/model/68d54c26
76.7 x 158 x 7.9 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",184 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 2960 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3430 mAh, Li-Ion",https://www.devicespecifications.com/en/model/68d54c26
76.5 x 162.6 x 8.8 mm,"1x 3.0 GHz Cortex-X3, 4x 2.4 GHz Cortex-A715, 4x 2.15 GHz Cortex-A510","ARM Mali-G715, 890 MHz,",213 g,"12 GB, 4266 MHz","128 GB, 256 GB, 512 GB","6.71 in, OLED, 1344 x 2992 pixels, 24 bit","8120 x 6180 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Wi-Fi 7 (be), Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.3,"5050 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/60d75dfa
76.2 x 160 x 7.6 mm,"2x 2.0 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 615, 430 MHz",167 g,"4 GB, 1866 MHz",64 GB,"6 in, OLED, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3700 mAh, Li-Ion",https://www.devicespecifications.com/en/model/00b550a3
76.2 x 160 x 7.6 mm,"2x 2.0 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 615, 430 MHz",167 g,"4 GB, 1866 MHz",64 GB,"6 in, OLED, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"3700 mAh, Li-Ion",https://www.devicespecifications.com/en/model/00b550a3
75.1 x 160.4 x 8.2 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",193 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 3040 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/84c35258
75.1 x 160.4 x 8.2 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",193 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 3040 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/84c35258
75.1 x 160.4 x 8.2 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",193 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 3040 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/84c35258
74 x 153.9 x 8.2 mm,"1x 2.4 GHz Cortex-A76, 1x 2.21 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 475)","Qualcomm Adreno 620, 625 MHz",168 g,"6 GB, 2133 MHz",128 GB,"6.24 in, OLED, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3885 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/ac9f549d
74 x 153.9 x 8.2 mm,"1x 2.4 GHz Cortex-A76, 1x 2.21 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 475)","Qualcomm Adreno 620, 625 MHz",168 g,"6 GB, 2133 MHz",128 GB,"6.24 in, OLED, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3885 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/ac9f549d
70.4 x 144.7 x 8 mm,"1x 2.4 GHz Cortex-A76, 1x 2.21 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 475)","Qualcomm Adreno 620, 625 MHz",151 g,"8 GB, 2133 MHz",128 GB,"6 in, OLED, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"4080 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f8175493
75.1 x 160.4 x 8.2 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",193 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 3040 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/84c35258
75.1 x 160.4 x 8.2 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",193 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.3 in, OLED, 1440 x 3040 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"3700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/84c35258
75.4 x 163.3 x 8.9 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",218 g,"6 GB, 8 GB, 2750 MHz","128 GB, 256 GB","6.67 in, AMOLED, 1080 x 2400 pixels, 24 bit","9248 x 6944 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/e9f8539e
76.8 x 165.3 x 9.4 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 800 MHz",215 g,"6 GB, 1866 MHz","64 GB, 128 GB","6.67 in, IPS, 1080 x 2400 pixels, 24 bit","9248 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"5160 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9ae85471
76.8 x 165.3 x 9.4 mm,"2x 2.3 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 800 MHz",215 g,"6 GB, 1866 MHz","64 GB, 128 GB","6.67 in, IPS, 1080 x 2400 pixels, 24 bit","9248 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"5160 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9ae85471
75.5 x 155.7 x 8.9 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",187 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB, 256 GB","6.18 in, IPS, 1080 x 2246 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/56da4bee
77.85 x 167.11 x 9.55 mm,,,,2 GB,16 GB,"6.52 in, IPS, 540 x 1200 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/316f57ed
75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112
75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112
75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112
75.8 x 159.15 x 9.95 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",207 g,"4 GB, 1600 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"6350 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d99e5112
74.2 x 157 x 8.9 mm,"2x 2.3 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 610 MHz",184 g,"4 GB, 6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.3 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4035 mAh, Li-Ion",https://www.devicespecifications.com/en/model/581b51f8
74 x 151.96 x 8.8 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",,"2 GB, 3 GB, 933 MHz","16 GB, 32 GB","5 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d9574fb0
72 x 94 x 14 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",205 g,"6 GB, 1866 MHz",128 GB,"6.2 in, pOLED, 876 x 2142 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.0, USB Type-C",5.0,"2510 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7129527f
72 x 94 x 14 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",205 g,"6 GB, 1866 MHz",128 GB,"6.2 in, pOLED, 876 x 2142 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.0, USB Type-C",5.0,"2510 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7129527f
78 x 171 x 9.85 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",240 g,"8 GB, 2750 MHz",256 GB,"6.59 in, AMOLED, 1080 x 2340 pixels, 30 bit","9280 x 6920 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, ad, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.1,"6000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/58eb5404
78 x 171 x 9.85 mm,"1x 3.09 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 670 MHz",240 g,"12 GB, 16 GB, 2750 MHz",512 GB,"6.59 in, AMOLED, 1080 x 2340 pixels, 30 bit","9280 x 6920 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, ad, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.1,"6000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d6705403
