dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
74.7 x 164.15 x 8.75 mm,"2x 2.6 GHz ARM Cortex-A78, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G68 MC4,",205 g,"8 GB, 2750 MHz",256 GB,"6.78 in, AMOLED, 1080 x 2460 pixels, 30 bit","8120 x 6180 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/600e5dec
72.3 x 144 x 10 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",162 g,"1 GB, 2 GB, 640 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0d2c4342
72.3 x 144.7 x 9.3 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",151 g,"2 GB, 640 MHz",16 GB,"5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2800 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/bfb743de
75.3 x 161.9 x 9.35 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 598 MHz",200 g,"2 GB, 3 GB, 667 MHz","16 GB, 32 GB","6 in, IPS, 720 x 1440 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/47e549ea
71.2 x 147.88 x 9.19 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 598 MHz",145 g,"1 GB, 667 MHz",16 GB,"5.3 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2100 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0c604b8d
73.5 x 150 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53, 4x 1.61 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 450 MHz",157 g,"3 GB, 800 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4632 x 3474 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1b1e44d1
73.5 x 150 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53, 4x 1.61 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 450 MHz",157 g,"3 GB, 800 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4632 x 3474 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1b1e44d1
73.5 x 150 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53, 4x 1.61 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 450 MHz",157 g,"3 GB, 800 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4632 x 3474 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1b1e44d1
73.4 x 150 x 8.24 mm,"4x 1.4 GHz ARM Cortex-A53, 4x 1.61 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 450 MHz",157 g,"4 GB, 800 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/cfa74666
73.4 x 150 x 8.24 mm,"4x 1.4 GHz ARM Cortex-A53, 4x 1.61 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 450 MHz",157 g,"4 GB, 800 MHz",32 GB,"5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/cfa74666
72.2 x 155.4 x 9.1 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 650 MHz",180 g,"2 GB, 3 GB, 667 MHz","16 GB, 32 GB","5.7 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/08a34984
75.5 x 160 x 8 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 508, 700 MHz",167 g,"4 GB, 6 GB, 1333 MHz",64 GB,"5.9 in, IPS, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3200 mAh, Li-Ion",https://www.devicespecifications.com/en/model/14024985
71.5 x 147.31 x 7.99 mm,"4x 1.8 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 250),","Qualcomm Adreno 506, 725 MHz",149 g,"2 GB, 933 MHz",32 GB,"5.7 in, IPS, 720 x 1512 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/40e34f01
75.8 x 158.4 x 9.1 mm,"4x 2.0 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 610, 950 MHz",188 g,"4 GB, 1866 MHz",64 GB,"6.3 in, IPS, 1080 x 2280 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a139526d
,"4x 2.0 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 610, 950 MHz",221 g,"4 GB, 1866 MHz",128 GB,"6.78 in, IPS, 720 x 1640 pixels, 24 bit","64 MP, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",5.0,"6000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/451354ef
75.35 x 151.35 x 7.85 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.2 GHz ARM Cortex-A53,","ARM Mali-T860 MP2, 700 MHz,",163 g,"3 GB, 4 GB, 933 MHz","32 GB, 64 GB","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",4.1,"3050 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/4f0f3f79
73.4 x 148.35 x 9.45 mm,"4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","Qualcomm Adreno 508, 700 MHz",163 g,"3 GB, 4 GB, 6 GB, 1333 MHz","32 GB, 64 GB","5.2 in, IPS, 1080 x 1920 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/cd7c452f
