dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery
72.7 x 155 x 8.95 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",164 g,"4 GB, 1600 MHz",64 GB,"6.09 in, IPS, 720 x 1560 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"4000 mAh, Li-Ion"
72.8 x 161.9 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A76, 4x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MP4, 650 MHz,",178 g,"6 GB, 2133 MHz",256 GB,"6.67 in, AMOLED, 1080 x 2400 pixels, 24 bit","8190 x 6120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4800 mAh, Li-Polymer"
72.8 x 161.9 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A76, 4x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MP4, 650 MHz,",178 g,"6 GB, 2133 MHz",256 GB,"6.67 in, AMOLED, 1080 x 2400 pixels, 24 bit","8190 x 6120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4800 mAh, Li-Polymer"
72.8 x 161.9 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A76, 4x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MP4, 650 MHz,",178 g,"6 GB, 2133 MHz",256 GB,"6.67 in, AMOLED, 1080 x 2400 pixels, 24 bit","8190 x 6120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4800 mAh, Li-Polymer"
67.5 x 137.35 x 10.5 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-T820 MP1, 600 MHz,",143 g,"1 GB, 533 MHz",16 GB,"5 in, TFT, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2000 mAh, Li-Ion"
67.5 x 137.35 x 10.5 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-T820 MP1, 600 MHz,",143 g,"1 GB, 533 MHz",16 GB,"5 in, TFT, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2000 mAh, Li-Ion"
75.5 x 164.1 x 9.2 mm,"2x 2.2 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MC2, 955 MHz,",182 g,"4 GB, 2133 MHz",128 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4000 mAh, Li-Polymer"
75.5 x 164.1 x 9.2 mm,"2x 2.2 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MC2, 955 MHz,",182 g,"4 GB, 2133 MHz",128 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4000 mAh, Li-Polymer"
75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
75.9 x 164.4 x 9.1 mm,"4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 680 MHz",196 g,"2 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
75.3 x 163.3 x 8.3 mm,"4x 2.5 GHz ARM Cortex-A53, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-T880 MP2, 1000 MHz,",,"4 GB, 1600 MHz",64 GB,"6.55 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer"
78 x 166 x 8.7 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",150 g,"2 GB, 640 MHz",16 GB,"6.49 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer"
78 x 166 x 8.7 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",150 g,"2 GB, 640 MHz",16 GB,"6.49 in, IPS, 720 x 1560 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer"
73.7 x 154.3 x 8.5 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",166 g,"2 GB, 3 GB, 933 MHz","16 GB, 32 GB","6.1 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"4000 mAh, Li-Polymer"
75 x 162 x 9 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",192 g,"4 GB, 1600 MHz",64 GB,"6.39 in, IPS, 720 x 1560 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer"
75 x 164.4 x 8.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.7 GHz ARM Cortex-A55,","ARM Mali-G52 2EEMC2, 820 MHz",195 g,"3 GB, 4 GB, 1800 MHz","32 GB, 64 GB","6.52 in, IPS, 720 x 1600 pixels, 24 bit","4032 x 3096 pixels, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
75 x 164.4 x 8.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.7 GHz ARM Cortex-A55,","ARM Mali-G52 2EEMC2, 820 MHz",195 g,"3 GB, 4 GB, 1800 MHz","32 GB, 64 GB","6.52 in, IPS, 720 x 1600 pixels, 24 bit","4032 x 3096 pixels, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
75 x 164.4 x 8.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.7 GHz ARM Cortex-A55,","ARM Mali-G52 2EEMC2, 820 MHz",195 g,"3 GB, 4 GB, 1800 MHz","32 GB, 64 GB","6.52 in, IPS, 720 x 1600 pixels, 24 bit","4032 x 3096 pixels, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"5000 mAh, Li-Polymer"
