,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
596,120032.0,66.0,680.0,207.0,64.0,206,1,5.9,128.0,4000.0,5.0,13733.0,Mate 10 6/128GB Gold
597,120032.0,66.0,680.0,207.0,64.0,606,4,6.0,256.0,4000.0,5.0,14257.0,Mate 10 6/256GB Porsche Design
598,120032.0,66.0,680.0,207.0,64.0,566,2,6.53,64.0,4000.0,5.0,13612.0,Mate 20 DS 6/64GB Black
599,120032.0,66.0,680.0,207.0,64.0,785,3,6.0,256.0,4000.0,5.0,13782.0,Mate RS Porsche Design 6/256GB Black
601,101429.0,148.0,585.0,192.0,128.0,926,9,6.57,128.0,4160.0,5.0,11104.0,Mi 10 Lite 6/128GB Cosmic Grey
610,106141.0,7.0,550.0,177.0,32.0,1168,12,6.67,256.0,5000.0,4.1,16756.0,Mi 10T Pro 8/256GB Cosmic Black
611,106141.0,7.0,550.0,177.0,32.0,393,1,6.44,64.0,5300.0,4.1,3989.0,Mi Max 2 4/64GB Black
612,106141.0,7.0,550.0,177.0,32.0,558,1,6.47,64.0,5260.0,4.1,8999.0,Mi Note 10 Lite 6/64GB Purple
615,121250.0,24.0,650.0,210.0,64.0,559,4,6.0,64.0,4200.0,4.0,2865.0,Mix 2 M2 4/64GB Blue
619,118015.0,46.0,430.0,170.0,64.0,183,1,6.0,32.0,5000.0,5.0,4090.0,Moto E5 Plus XT1924-1 DualSim Black (PABA0014UA)
621,113411.0,14.0,600.0,196.0,32.0,441,7,5.0,16.0,2800.0,4.2,2243.0,Moto G5 2/16GB Gold (PA610071UA)
622,113549.0,66.0,680.0,196.0,32.0,431,2,5.2,32.0,3000.0,5.0,3569.0,Moto G5s (XT1794) Lunar Gray (PA7W0024UA)
623,113549.0,66.0,680.0,196.0,32.0,434,2,5.2,32.0,3000.0,5.0,3569.0,Moto G5s (XT1794) Lunar Gray (PA7W0024UA)
630,96972.0,174.0,780.0,165.0,64.0,236,1,6.2,64.0,5000.0,4.2,5790.0,Moto G7 Power XT1955-4 4/64GB Ceramic Black
631,96972.0,174.0,780.0,165.0,64.0,722,10,6.4,64.0,4000.0,4.2,5084.0,Moto G8 4/64GB Blue (PAHL0004RS)
632,96972.0,174.0,780.0,165.0,64.0,720,10,6.4,64.0,4000.0,4.2,5084.0,Moto G8 4/64GB Blue (PAHL0004RS)
633,96972.0,174.0,780.0,165.0,64.0,528,9,6.4,64.0,4000.0,4.2,5105.0,Moto G8 4/64GB White (PAHL0010RS)
634,96972.0,174.0,780.0,165.0,64.0,539,9,6.4,64.0,4000.0,4.2,5105.0,Moto G8 4/64GB White (PAHL0010RS)
635,96972.0,174.0,780.0,165.0,64.0,1041,12,6.3,64.0,4000.0,4.2,5573.0,Moto G8 Plus XT2019-1 4/64GB Dual Sim Cosmic Blue (PAGE0015RS)
636,96972.0,174.0,780.0,165.0,64.0,1149,3,6.4,128.0,5000.0,4.2,5432.0,Moto G9 Power 4/128GB Gray (PALR0020RS)
640,72228.0,74.0,710.0,143.0,64.0,170,1,5.2,32.0,3000.0,5.0,5790.0,Moto X4 3/32GB Black (PA8X0004UA)
641,72228.0,74.0,710.0,143.0,64.0,174,1,5.5,32.0,2600.0,5.0,4990.0,Moto Z 32GB Black (SM4389AE7U1)
642,72228.0,74.0,710.0,143.0,128.0,210,1,5.5,32.0,2600.0,4.2,4990.0,Moto Z 32GB Black (SM4389AE7U1)
643,72228.0,74.0,710.0,143.0,128.0,223,1,5.5,32.0,2600.0,4.2,4990.0,Moto Z 32GB Black (SM4389AE7U1)
644,72228.0,74.0,710.0,143.0,128.0,196,4,5.5,32.0,2600.0,4.2,3796.0,Moto Z 32GB White/Gold (SM4389AD1U1)
645,72228.0,74.0,710.0,143.0,128.0,808,2,5.5,64.0,2730.0,4.2,7094.0,Moto Z2 Force 6/64GB Black (PA900007UA)
648,95738.0,47.0,610.0,179.0,128.0,322,2,5.5,64.0,3000.0,5.0,5244.0,Moto Z2 Play Lunar Grey (SM4482AC3K7)
649,106697.0,30.0,650.0,190.0,128.0,374,2,6.01,64.0,3000.0,5.0,6590.0,Moto Z3 Play 4/64GB Deep Indgo
650,106697.0,30.0,650.0,190.0,128.0,503,2,6.4,128.0,3600.0,5.0,11690.0,Moto Z4 4/128GB Flash Gray
651,100558.0,52.0,950.0,193.0,128.0,508,2,6.4,128.0,3600.0,5.3,11690.0,Moto Z4 4/128GB Flash Gray
652,100558.0,52.0,950.0,193.0,128.0,35,1,5.5,16.0,4500.0,5.3,2599.0,N1-550 Cruiser Dual Sim Black
656,88604.0,50.0,772.0,171.0,32.0,959,24,6.3,128.0,4400.0,4.2,4722.0,N20 Pro 6/128GB Green
657,100555.0,148.0,585.0,183.0,128.0,672,8,6.55,128.0,4500.0,5.0,3519.0,N30 4/128GB Dreamy Blue
658,108380.0,88.0,572.0,199.0,128.0,675,8,6.55,128.0,4500.0,5.0,3519.0,N30 4/128GB Dreamy Blue
659,108380.0,88.0,572.0,199.0,128.0,31,1,5.7,32.0,3000.0,5.0,5494.0,N920C Galaxy Note 5 32GB (Gold Platinum)
660,108380.0,88.0,572.0,199.0,128.0,463,2,1.77,0.032,800.0,5.0,652.0,Neon A1
661,108380.0,88.0,572.0,199.0,128.0,456,2,1.77,0.032,800.0,5.0,652.0,Neon A1
662,101839.0,48.0,650.0,181.0,32.0,340,1,5.3,32.0,3220.0,5.0,3895.0,Nexus 6 32GB (Cloud White)
663,101839.0,48.0,650.0,181.0,32.0,1096,25,6.44,256.0,4115.0,5.0,12985.0,Nord 12/256GB Gray Onyx
668,98599.0,64.0,1000.0,195.0,64.0,576,1,6.5,128.0,4200.0,4.2,4494.0,Note 20 Pro 8/128GB Black
669,98599.0,64.0,1000.0,195.0,64.0,28,17,6.1,32.0,3500.0,4.2,2999.0,Note 7P 3/32GB Twilight
670,92659.0,40.0,430.0,167.0,64.0,22,17,6.1,32.0,3500.0,5.0,2999.0,Note 7P 3/32GB Twilight
671,92659.0,40.0,430.0,167.0,64.0,312,33,5.5,16.0,2700.0,5.0,2125.0,Note 8P 2/16GB Black
672,89568.0,5.0,500.0,172.0,8.0,211,23,5.5,16.0,2700.0,4.0,2148.0,Note 8P 2/16GB Midnight Green
673,89568.0,5.0,500.0,172.0,8.0,175,23,5.5,16.0,2700.0,4.0,2148.0,Note 8P 2/16GB Midnight Green
674,89568.0,5.0,500.0,172.0,8.0,1167,34,6.2,64.0,4000.0,4.0,4430.0,Note 9 4/64GB Black
675,89568.0,5.0,500.0,172.0,8.0,81,3,6.4,128.0,3750.0,4.0,9372.0,Nova 4 8/128GB Black
676,89568.0,5.0,500.0,172.0,8.0,220,1,5.5,64.0,3200.0,4.0,8619.0,Nubia Z17 8/64GB Black
677,89568.0,5.0,500.0,172.0,8.0,187,1,5.5,64.0,3200.0,4.0,8619.0,Nubia Z17 8/64GB Black
678,89568.0,5.0,500.0,172.0,8.0,839,1,6.34,128.0,3500.0,4.0,4697.0,One Action 4/128GB XT2013-2 Blue
